name,rank,count,prop100k,cum_prop100k,pctwhite,pctblack,pctapi,pctaian,pct2prace,pcthispanic
SMITH,1,2442977,828.19,828.19,70.9,23.11,0.5,0.89,2.19,2.4
JOHNSON,2,1932812,655.24,1483.42,58.97,34.63,0.54,0.94,2.56,2.36
WILLIAMS,3,1625252,550.97,2034.39,45.75,47.68,0.46,0.82,2.81,2.49
BROWN,4,1437026,487.16,2521.56,57.95,35.6,0.51,0.87,2.55,2.52
JONES,5,1425470,483.24,3004.8,55.19,38.48,0.44,1,2.61,2.29
GARCIA,6,1166120,395.32,3400.12,5.38,0.45,1.41,0.47,0.26,92.03
MILLER,7,1161437,393.74,3793.86,84.11,10.76,0.54,0.66,1.77,2.17
DAVIS,8,1116357,378.45,4172.31,62.2,31.6,0.49,0.82,2.45,2.44
RODRIGUEZ,9,1094924,371.19,4543.5,4.75,0.54,0.57,0.18,0.18,93.77
MARTINEZ,10,1060159,359.4,4902.9,5.28,0.49,0.6,0.51,0.22,92.91
HERNANDEZ,11,1043281,353.68,5256.58,3.79,0.36,0.6,0.19,0.16,94.89
LOPEZ,12,874523,296.47,5553.05,4.86,0.57,1.02,0.38,0.25,92.92
GONZALEZ,13,841025,285.11,5838.16,4.03,0.35,0.38,0.14,0.13,94.97
WILSON,14,801882,271.84,6110,67.36,25.99,0.6,1.06,2.38,2.61
ANDERSON,15,784404,265.92,6375.92,75.17,18.93,0.61,0.74,2.11,2.44
THOMAS,16,756142,256.34,6632.26,52.63,38.75,2.44,1.07,2.58,2.54
TAYLOR,17,751209,254.67,6886.93,65.38,28.42,0.56,0.76,2.41,2.46
MOORE,18,724374,245.57,7132.49,66.41,27.74,0.48,0.68,2.34,2.34
JACKSON,19,708099,240.05,7372.54,39.89,53.04,0.39,1.06,3.12,2.5
MARTIN,20,702625,238.19,7610.74,74.8,15.76,0.9,0.98,2.02,5.56
LEE,21,693023,234.94,7845.68,35.95,16.33,42.22,0.97,2.64,1.89
PEREZ,22,681645,231.08,8076.76,4.96,0.45,1.17,0.2,0.26,92.95
THOMPSON,23,664644,225.32,8302.08,69.78,23.57,0.57,1.22,2.37,2.49
WHITE,24,660491,223.91,8525.99,65.51,28.17,0.49,1.07,2.38,2.38
HARRIS,25,624252,211.63,8737.62,51.4,42.39,0.47,0.67,2.8,2.26
